country,year_survey,quantile,nb_quantiles,income,pop,gdpppp
ALB,2008,1,100,728.89795,0.03143,7297.0
ALB,2008,2,100,916.66235,0.03143,7297.0
ALB,2008,3,100,1010.916,0.03143,7297.0
ALB,2008,4,100,1086.9078,0.03143,7297.0
ALB,2008,5,100,1132.6997,0.03143,7297.0
ALB,2008,6,100,1171.1412,0.03143,7297.0
ALB,2008,7,100,1201.1324,0.03143,7297.0
ALB,2008,8,100,1240.8976,0.03143,7297.0
ALB,2008,9,100,1285.6914,0.03143,7297.0
ALB,2008,10,100,1325.2533,0.03143,7297.0
ALB,2008,11,100,1351.3123,0.03143,7297.0
ALB,2008,12,100,1379.9443,0.03143,7297.0
ALB,2008,13,100,1416.7827,0.03143,7297.0
ALB,2008,14,100,1467.0759,0.03143,7297.0
ALB,2008,15,100,1503.6356,0.03143,7297.0
ALB,2008,16,100,1535.6703,0.03143,7297.0
ALB,2008,17,100,1571.8933,0.03143,7297.0
ALB,2008,18,100,1604.8568,0.03143,7297.0
ALB,2008,19,100,1636.6593,0.03143,7297.0
ALB,2008,20,100,1669.9136,0.03143,7297.0
ALB,2008,21,100,1709.7347,0.03143,7297.0
ALB,2008,22,100,1746.391,0.03143,7297.0
ALB,2008,23,100,1765.3282,0.03143,7297.0
ALB,2008,24,100,1789.8435,0.03143,7297.0
ALB,2008,25,100,1821.8538,0.03143,7297.0
ALB,2008,26,100,1844.6742,0.03143,7297.0
ALB,2008,27,100,1863.2518,0.03143,7297.0
ALB,2008,28,100,1880.7145,0.03143,7297.0
ALB,2008,29,100,1903.7499,0.03143,7297.0
ALB,2008,30,100,1929.054,0.03143,7297.0
ALB,2008,31,100,1950.4482,0.03143,7297.0
ALB,2008,32,100,1967.546,0.03143,7297.0
ALB,2008,33,100,1993.7744,0.03143,7297.0
ALB,2008,34,100,2026.2073,0.03143,7297.0
ALB,2008,35,100,2057.9592,0.03143,7297.0
ALB,2008,36,100,2085.9587,0.03143,7297.0
ALB,2008,37,100,2115.2470000000008,0.03143,7297.0
ALB,2008,38,100,2141.773,0.03143,7297.0
ALB,2008,39,100,2170.2737,0.03143,7297.0
ALB,2008,40,100,2195.6135,0.03143,7297.0
ALB,2008,41,100,2216.396,0.03143,7297.0
ALB,2008,42,100,2258.5613,0.03143,7297.0
ALB,2008,43,100,2291.3662,0.03143,7297.0
ALB,2008,44,100,2318.385,0.03143,7297.0
ALB,2008,45,100,2343.677,0.03143,7297.0
ALB,2008,46,100,2367.7053,0.03143,7297.0
ALB,2008,47,100,2394.3325,0.03143,7297.0
ALB,2008,48,100,2414.1929,0.03143,7297.0
ALB,2008,49,100,2450.6875,0.03143,7297.0
ALB,2008,50,100,2493.837,0.03143,7297.0
ALB,2008,51,100,2515.8542,0.03143,7297.0
ALB,2008,52,100,2545.9229,0.03143,7297.0
ALB,2008,53,100,2585.2053,0.03143,7297.0
ALB,2008,54,100,2624.496,0.03143,7297.0
ALB,2008,55,100,2653.148,0.03143,7297.0
ALB,2008,56,100,2689.833,0.03143,7297.0
ALB,2008,57,100,2727.5537,0.03143,7297.0
ALB,2008,58,100,2760.3188,0.03143,7297.0
ALB,2008,59,100,2789.3022,0.03143,7297.0
ALB,2008,60,100,2820.4968,0.03143,7297.0
ALB,2008,61,100,2853.7224,0.03143,7297.0
ALB,2008,62,100,2892.0959999999995,0.03143,7297.0
ALB,2008,63,100,2937.91,0.03143,7297.0
ALB,2008,64,100,2981.6497,0.03143,7297.0
ALB,2008,65,100,3007.7898,0.03143,7297.0
ALB,2008,66,100,3061.0693,0.03143,7297.0
ALB,2008,67,100,3103.5266,0.03143,7297.0
ALB,2008,68,100,3146.2292,0.03143,7297.0
ALB,2008,69,100,3181.6255,0.03143,7297.0
ALB,2008,70,100,3230.5708,0.03143,7297.0
ALB,2008,71,100,3280.7761,0.03143,7297.0
ALB,2008,72,100,3341.487,0.03143,7297.0
ALB,2008,73,100,3390.7966,0.03143,7297.0
ALB,2008,74,100,3439.6257,0.03143,7297.0
ALB,2008,75,100,3491.062,0.03143,7297.0
ALB,2008,76,100,3559.863,0.03143,7297.0
ALB,2008,77,100,3616.3733,0.03143,7297.0
ALB,2008,78,100,3671.2327,0.03143,7297.0
ALB,2008,79,100,3747.2676,0.03143,7297.0
ALB,2008,80,100,3820.1353,0.03143,7297.0
ALB,2008,81,100,3894.5598,0.03143,7297.0
ALB,2008,82,100,3998.902,0.03143,7297.0
ALB,2008,83,100,4088.487,0.03143,7297.0
ALB,2008,84,100,4188.287,0.03143,7297.0
ALB,2008,85,100,4297.0615,0.03143,7297.0
ALB,2008,86,100,4417.9106,0.03143,7297.0
ALB,2008,87,100,4477.9634,0.03143,7297.0
ALB,2008,88,100,4587.197,0.03143,7297.0
ALB,2008,89,100,4670.309,0.03143,7297.0
ALB,2008,90,100,4773.785,0.03143,7297.0
ALB,2008,91,100,4965.685,0.03143,7297.0
ALB,2008,92,100,5144.8833,0.03143,7297.0
ALB,2008,93,100,5348.7930000000015,0.03143,7297.0
ALB,2008,94,100,5619.445,0.03143,7297.0
ALB,2008,95,100,5860.917,0.03143,7297.0
ALB,2008,96,100,6231.0996,0.03143,7297.0
ALB,2008,97,100,6822.3184,0.03143,7297.0
ALB,2008,98,100,7775.891,0.03143,7297.0
ALB,2008,99,100,9351.751,0.03143,7297.0
ALB,2008,100,100,17754.324,0.03143,7297.0
ARG,2008,1,100,254.08942000000002,0.39876116,13220.0
ARG,2008,2,100,470.5015,0.39876116,13220.0
ARG,2008,3,100,623.4542,0.39876116,13220.0
ARG,2008,4,100,734.97455,0.39876116,13220.0
ARG,2008,5,100,832.3185,0.39876116,13220.0
ARG,2008,6,100,918.408,0.39876116,13220.0
ARG,2008,7,100,1012.4612,0.39876116,13220.0
ARG,2008,8,100,1106.381,0.39876116,13220.0
ARG,2008,9,100,1185.0071,0.39876116,13220.0
ARG,2008,10,100,1269.6984,0.39876116,13220.0
ARG,2008,11,100,1338.0342,0.39876116,13220.0
ARG,2008,12,100,1380.8749,0.39876116,13220.0
ARG,2008,13,100,1470.019,0.39876116,13220.0
ARG,2008,14,100,1549.8207,0.39876116,13220.0
ARG,2008,15,100,1624.023,0.39876116,13220.0
ARG,2008,16,100,1687.6732,0.39876116,13220.0
ARG,2008,17,100,1752.8687,0.39876116,13220.0
ARG,2008,18,100,1823.772,0.39876116,13220.0
ARG,2008,19,100,1898.275,0.39876116,13220.0
ARG,2008,20,100,1974.4622,0.39876116,13220.0
ARG,2008,21,100,2032.3722,0.39876116,13220.0
ARG,2008,22,100,2094.0496,0.39876116,13220.0
ARG,2008,23,100,2170.0852,0.39876116,13220.0
ARG,2008,24,100,2228.7747,0.39876116,13220.0
